name	pocet	procent	iczuj	kandidatu
kopal	3	0.125	563617.tsv	24
tiler	3	0.13636363636363635	563684.tsv	22
vlach	3	0.09090909090909091	549801.tsv	33
blahut	3	0.0967741935483871	549665.tsv	31
krupk	3	0.06818181818181818	563854.tsv	44
horak	3	0.15789473684210525	563897.tsv	19
honzejk	3	0.06666666666666667	563901.tsv	45
velzel	3	0.08333333333333333	564036.tsv	36
zorenik	3	0.06976744186046512	564044.tsv	43
kovar	3	0.125	564141.tsv	24
rut	3	0.06666666666666667	564532.tsv	45
smolk	3	0.16666666666666666	564583.tsv	18
kuhn	3	0.06666666666666667	564621.tsv	45
holub	3	0.3333333333333333	564796.tsv	9
nemc	3	0.06666666666666667	564851.tsv	45
kriz	3	0.1111111111111111	564893.tsv	27
tichav	3	0.07142857142857142	549487.tsv	42
richter	3	0.05357142857142857	565083.tsv	56
sim	3	0.15	565091.tsv	20
dusk	3	0.06666666666666667	565211.tsv	45
rysinsk	3	0.1	565245.tsv	30
far	3	0.13636363636363635	565253.tsv	22
kohout	3	0.3333333333333333	565288.tsv	9
fial	3	0.06976744186046512	549428.tsv	43
svobod	3	0.3333333333333333	565458.tsv	9
kofron	3	0.10344827586206896	549410.tsv	29
vesel	3	0.09375	565946.tsv	32
horek	3	0.13043478260869565	549291.tsv	23
matejk	3	0.2727272727272727	566161.tsv	11
kurk	3	0.13043478260869565	566195.tsv	23
burik	3	0.2727272727272727	566276.tsv	11
polan	3	0.058823529411764705	566306.tsv	51
masek	3	0.05454545454545454	566322.tsv	55
marinec	3	0.10344827586206896	549011.tsv	29
stransk	3	0.3333333333333333	548910.tsv	9
podrouzek	3	0.06818181818181818	566454.tsv	44
soukup	3	0.42857142857142855	566471.tsv	7
smolik	3	0.23076923076923078	566497.tsv	13
siman	3	0.1111111111111111	548774.tsv	27
branis	3	0.1111111111111111	566527.tsv	27
blah	3	0.21428571428571427	548324.tsv	14
vopat	3	0.2	566632.tsv	15
smid	3	0.08333333333333333	566756.tsv	36
koub	3	0.375	566781.tsv	8
dibus	3	0.16666666666666666	566802.tsv	18
stipek	3	0.16666666666666666	566870.tsv	18
minarik	3	0.3	566926.tsv	10
valdhans	3	0.23076923076923078	567001.tsv	13
pribyl	3	0.06666666666666667	567060.tsv	45
sec	3	0.06666666666666667	567167.tsv	45
viedemann	3	0.07894736842105263	567302.tsv	38
sediv	3	0.16666666666666666	548171.tsv	18
dvorak	3	0.06666666666666667	567329.tsv	45
kunc	3	0.14285714285714285	567353.tsv	21
juzl	3	0.08823529411764706	548081.tsv	34
stehlik	3	0.09090909090909091	567698.tsv	33
daniel	3	0.13043478260869565	547948.tsv	23
beran	3	0.2727272727272727	567884.tsv	11
ruml	3	0.1875	547875.tsv	16
poc	3	0.09090909090909091	568295.tsv	33
splichal	3	0.3333333333333333	547867.tsv	9
martinek	3	0.17647058823529413	568341.tsv	17
pilar	3	0.2727272727272727	547824.tsv	11
blazek	3	0.2727272727272727	547794.tsv	11
kopeck	3	0.1875	547484.tsv	16
kucer	3	0.06666666666666667	568449.tsv	45
gajdusek	3	0.08333333333333333	568473.tsv	36
klos	3	0.09090909090909091	568481.tsv	33
novak	3	0.1111111111111111	547212.tsv	27
henzl	3	0.11538461538461539	568538.tsv	26
kudelk	3	0.1	568554.tsv	30
osmancik	3	0.1	547182.tsv	30
dobrovoln	3	0.07142857142857142	568597.tsv	42
jindr	3	0.21428571428571427	568708.tsv	14
mysk	3	0.16666666666666666	568741.tsv	18
pavelk	3	0.1875	568783.tsv	16
val	3	0.25	568821.tsv	12
tvrdik	3	0.25	568899.tsv	12
smoldas	3	0.16666666666666666	568911.tsv	18
tajovsk	3	0.11538461538461539	568929.tsv	26
venc	3	0.16666666666666666	568953.tsv	18
stehn	3	0.1	569020.tsv	30
sim	3	0.05555555555555555	569046.tsv	54
simanek	3	0.11538461538461539	569062.tsv	26
levak	3	0.16666666666666666	547131.tsv	18
stedr	3	0.1111111111111111	569127.tsv	27
kurk	3	0.075	546968.tsv	40
benc	3	0.1111111111111111	569224.tsv	27
semik	3	0.21428571428571427	569232.tsv	14
